start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
16.08.2021,04.10.2021,Blumenstraße,,13,Holdersteig ,40.0,,,Viasis,,,Blumenstraße,77350,,47.7150926421572,9.174384116311346,47.71525663842663,9.17483065856913
16.08.2021,28.09.2021,Kreuzlingerstraße,,7,Schnetztor,20.0,,,Viasis,,,Kreuzlinger Straße,78624,,47.65794969652782,9.170915170385433,47.6579448928133,9.17079254465475
17.08.2021,13.09.2021,Am Pfeiferhölzle,,15,Taborweg,50.0,,,,,,Am Pfeiferhölzle,77101,,47.682721370794845,9.175218090091285,47.68244019211192,9.175267642740334
17.08.2021,11.10.2021,Kindlebildstraße,,28,Reichenau,50.0,,,,,,Kindlebildstraße,78512,,47.691859488907205,9.14086959216331,47.6918589,9.1423292
17.08.2021,04.10.2021,Winkelstraße,,3,Fuerstenbergstr.,30.0,,,,,,Winkelstraße,80010,,47.68263428616895,9.157457405907817,47.68271546566867,9.157390532401482
17.08.2021,04.10.2021,Stifterstraße ,,8,Gabelsbergerstr. ,50.0,,,,,,Stifterstraße,79765,,47.6888719805078,9.149827353286891,47.68895748831429,9.14984618143894
23.08.2021,02.11.2021,Konzilstraße,,1,Sternenplatz,50.0,,,,,,Konzilstraße,78603,,47.66190384467959,9.177197525166129,47.6618402,9.1774011
31.08.2021,18.10.2021,Breslauer Straße,,16,Riedstr.,50.0,,,,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
13.09.2021,02.11.2021,Schwaketenstraße,,3,Radolfzellerstr.,50.0,,,Statistik erfasst Tag/Nacht nicht,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
13.09.2021,08.11.2021,Untere Laube,,26,Rheinsteig,50.0,,,,,,Untere Laube,79898,,47.66300701184407,9.17208324926022,47.66279166695149,9.172572117858897
13.09.2021,18.10.2021,Fritz-Arnold-Straße,,12,Robert-Bosch-Strasse,50.0,,,,,,Fritz-Arnold-Straße,77896,,47.67462036923318,9.146825053710993,47.674744844452285,9.146967311104252
28.09.2021,18.10.2021,Mannheimer Straße,,2,Muehlenweg,40.0,,,Viasis,,,Mannheimer Straße,78249,,47.68516429924334,9.144571573903526,47.68497217099973,9.144508484951086
28.09.2021,21.10.2021,Eichhornstraße,,56,Mainaustr.,50.0,,11.10. Daten gezogen,,,,Eichhornstraße,77672,,47.666476176354,9.198647166322798,47.667047096365366,9.198814681775184
28.09.2021,11.10.2021,H.-von-Vicari-Straße,,19,Mainaustr.,50.0,,Blindmessung,,,,Hermann-von-Vicari-Straße,78225,,47.67358193191733,9.201540855093054,47.67343877377024,9.201537866405223
04.10.2021,18.10.2021,Blumenstraße,,13,Grossherzog-Friedrich-Strasse,50.0,,,Viasis,,,Blumenstraße,77350,,47.7150926421572,9.174384116311346,47.71525663842663,9.17483065856913
04.10.2021,15.11.2021,Schiffstraße,,20,Faehre,80.0,,,,,,Schiffstraße,79499,,47.68251659655355,9.206128109755882,47.68270726794879,9.206153623497228
04.10.2021,04.10.2021,Markgrafenstraße,,30,Gottmannplatz,50.0,,,,,,Markgrafenstraße,78834,,47.67187929267058,9.174706887621044,47.67176960900469,9.174670825927402
11.10.2021,06.12.2021,Max-Stromeyer-Straße,,13,Gottmannplatz,100.0,,,,,,Max-Stromeyer-Straße,78862,,47.6743480673774,9.165803631762763,47.674540015564105,9.16585802552332
11.10.2021,15.11.2021,Hermann-von-Vicari-Straße,,19,Mainaustr.,50.0,,,,,,Hermann-von-Vicari-Straße,78225,,47.67358193191733,9.201540855093054,47.67343877377024,9.201537866405223
11.10.2021,06.12.2021,Radolfzeller Straße,,27,Ortsausgang,50.0,,,,,,Radolfzeller Straße,79184,,47.69166403599115,9.145857545973824,47.69164940388858,9.14600804760028
11.10.2021,06.12.2021,Markgrafenstraße,,17,Gottmannplatz,50.0,,,,,,Markgrafenstraße,78834,,47.67142428568309,9.175351051088445,47.671537725217306,9.175387746151424
18.10.2021,06.12.2021,Breslauer Straße,,16,Hardtstr.,50.0,,,,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
