Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
19.01.2022;19.04.2022;8815;;Fritz-Arnold-Str.;"Tags 30 ; Abends 50";19;Gottlieb-Daimler-Strasse;70;;Messung reicht in den 50 km/h Bereich hinein;Messung von Handy geschluckt ;;;
21.01.2022;29.03.2022;8100;;Feuersteinstr.;30;7;ZfP;50;28.01.2022;ohne Solarpanel installiert!!!;;;;
24.01.2022;24.05.2022;0052;;Mainaustr.;30 (Baustelle);90;Staad ;80;;Messung reicht in den 50 km/h Bereich hinein;Statistik der Baustelle wird nicht benoetigt ;;;
24.01.2022;30.03.2022;Viasis;;Siedlerweg;10;9;Sackgasse;50;;;Viasis;;;
24.01.2022;30.03.2022;Viasis;;Stockackerweg;30;15;Pfeiferhoelzle;100;;;Viasis;;;
01.02.2022;16.03.2022;6047;;Martin-Schleyer-Str.;40;gg. 30;Dingelsdorf ;100;;;;;;
01.02.2022;21.04.2022;5797;;Fuerstenbergstr.;50;114;Wollmatinger Str.;80;;Messung evtl nicht korrekt da Kurvenbereich;;;;
16.02.2022;19.04.2022;1415;;Stifterstr. ;30;8;Gabelsbergerstr. ;50;;;;;;
16.02.2022;02.05.2022;8710;;Eichhornstr.;30;10;Hoernle;50;;;;;;
02.03.2022;16.05.2022;4621;;Schulthaissstrasse;30;2c;Grenzbachstrasse;50;;;18 Tage fehlen. Ruecksprache mit ElanC.;;;
02.03.2022;02.05.2022;0715;;Reichenaustr.;"Tags 50 ; Nachts 30";Holly`s;Europabruecke;50;;;Statistik erfasst Tag/Nacht nicht;;;
04.03.2022;25.04.2022;9018;;Grenzbachstrasse ? ;50;Vor Doebele Kreisel;Europastr.;50;;;;;;
16.03.2022;09.05.2022;9256;;Martin-Schleyer-Str.;40;5;Ortsausgang;50;;gedreht in FR. Ortsausgang  durch Ortsverwaltung nach Beschwerde von Herr Grabow;;;;
16.03.2022;09.05.2022;6047;;Martin-Schleyer-Str.;40;30;Ortskern;50;;;;;;
29.03.2022;02.05.2022;8100;;Feuersteinstr.;30;7;Kindlebildstrasse;100;;;Bis hier alles gruene in OD;;;
30.03.2022;21.04.2022;Viasis;;Flurweg/Egg;Verkehrsberuhigt;5a;Siedlerweg;50;;;Viasis;;;
30.03.2022;02.05.2022;Viasis;;Kuhmoosweg ;30;5a;Pfeiferhoelzle;50;;;Viasis;;;
19.04.2022;07.06.2022;8815;;Fritz-Arnold-Str.;"Tags 30 ; Abends 50";19;;50;;;Statistik erfasst Tag/Nacht nicht;;;
19.04.2022;07.06.2022;1415;;Stifterstr. ;30;8;Radolfzellerstr.;50;;;;;;
21.04.2022;24.05.2022;Viasis;;Thomas-Saettele-Str.;Verkehrsberuhigt;Pflegeheim;;40;;;Viasis;;;
21.04.2022;11.07.2022;5797;;Markgrafenstr.;30;Kirche/KiGa;Ebertplatz;30;;;22  Tage fehlen. Ruecksprache mit ElanC.;;;
25.04.2022;04.07.2022;9018;;Mainaustr.;50;22;Eichhornstrasse;50;;;11 Tage fehlen. Ruecksprache mit ElanC.;;;
25.04.2022;27.06.2022;4354;;Sonnenbuehlstr.;30;18;Mainaustr.;50;;;;;;
02.05.2022;18.07.2022;8710;;Eichhornstr.;30;10;Mainaustr.;50;;;17 Tage fehlen. Ruecksprache mit ElanC.;;;
02.05.2022;18.07.2022;8100;;Reutestr.;30;54;Hardtstr.;50;;;Statistik durch leeren Akku geteilt;;;
02.05.2022;07.06.2022;Viasis;;Kuhmoosweg ;30;;Friedrichstrasse;50;;;Viasis;;;
02.05.2022;11.07.2022;0715;;Friedrichstr.;50;35;Uni;50;;;11 Tage fehlen. Ruecksprache mit ElanC.;;;
09.05.2022;11.07.2022;6047;;Byk-Gulden-Str.;50;25;Riedstr.;50;;;;;;
09.05.2022;19.07.2022;9256;;Litzelstetter Str;30;36;Radolfzellerstr.;100;;;;;;
16.05.2022;04.07.2022;4621;;Danzigerstr.;30;7;Stockackerweg;50;;;;;;
24.05.2022;25.07.2022;Viasis;;Mannheimerstrasse;Verkehrsberuhigt;9;Wendeplatte;40;;;Viasis;;;
24.05.2022;19.07.2022;0052;;Untere Laube;30;Stephansschule;Rheinsteig;50;;;;;;
07.06.2022;01.08.2022;8815;;Lindauerstrasse;30;10;Jakobstr.;50;;;;;;
07.06.2022;25.07.2022;1415;;Kindlebildstr.;50;46;Engelsteig;50;;;;;;
07.06.2022;18.07.2022;Viasis;;Cherisy;30;21;Pflegeheim;40;;;Viasis;;;
27.06.2022;15.08.2022;4354;;Jacob-Burckhardt-Str.;30;16;Sonnenbuehlstr.;100;;;;;;
04.07.2022;01.08.2022;4621;;Danzigerstr.;30;7;Friedrichstr.;50;;;;;;
04.07.2022;29.08.2022;9018;;Mainaustr.;50;22;Sternenplatz;50;;;;;;
11.07.2022;04.01.2022;5797;;Markgrafenstr.;30;Kirche/KiGa;Schneckenburgstr.;50;;;ca.30 Tage fehlen.Ruecksprache mit ElanC.;;;
11.07.2022;29.08.2022;0715;;Wollmatingerstr.;50;43;Zaehringerplatz;100;;;;;;
11.07.2022;29.08.2022;5047;;Byk-Gulden-Str.;50;25;Stadauswaerts;100;;;;;;
18.07.2022;05.09.2022;8710;;Mainaustr.Egg;30;205;Mainaustr.;50;;;;;;
18.07.2022;05.09.2022;8100;;Reutestr.;30;54;Cherisy;50;;;;;;
18.07.2022;29.08.2022;Viasis;;Blumenstrasse;10;15;Rathaus;50;;;Viasis ;;;
19.07.2022;10.10.2022;0052;;Untere Laube;30;KiGa/AOK;Rheinsteig;50;;Ohne Solarpanel installiert!!!;;;;
19.07.2022;05.09.2022;9256;;Schwaketenstr.;50;66;Universiaet;50;;;;;;
25.07.2022;06.09.2022;Viasis;;Mannheimerstr-;10;9;Brandenburgerstr.;40;;;Viasis ;;;
25.07.2022;29.08.2022;1415;;Kindlebidstr.;50;49;Feursteinstr.;100;;;;;;
01.08.2022;05.09.2022;8815;;Lindauerstrasse;30;30;Faehre;50;;;;;;
01.08.2022;04.10.2022;4621;;Konzilstr.;30;Philharmonie;Bahnhof;50;;;;;;
15.08.2022;06.09.2022;4354;;Jacob-Burckhardt-Str.;30;23;Friedrichstr.;50;;;;;;
29.08.2022;26.09.2022;9018;;Kapitaen-Romer-Str.;40;22;Langenrainerstr.;50;;;;;;
29.08.2022;26.09.2022;0715;;Wollmatingerstr.;50;43;Friedhof;50;;;;;;
29.08.2022;26.09.2022;5047;;Fuerstenbergstr.;50;32;Radolfzellerstr.;50;;;;;;
29.08.2022;25.10.2022;1415;;Radolfzellerstr.;30;65;Engelsteig;50;;;;;;
29.08.2022;04.10.2022;Viasis;;Blumenstrasse;Verkehrsberuhigt;15;Holdersteig ;50;;;Viasis;;;
05.09.2022;28.11.2022;9256;;Schwaketenstr.;30;Grundschule;Radolfzellerstr.;50;;;;;;
05.09.2022;26.09.2022;8710;;Mainaustr.;50;130;Faehre;50;;;;;;
05.09.2022;28.11.2022;8100;;Breslauer Str.;30;Schule;Riedstr.;50;;;;;;
05.09.2022;26.09.2022;8815;;Mainaustr.;50;50;Faehre;50;;;;;;
06.09.2022;14.11.2022;4354;;Steinstrasse;30;Schule;Zaehringerplatz;50;;Ohne Solarpanel ;;;;
06.09.2022;14.11.2022;Viasis;;Sonnentauweg;30;23;Buhlenweg;50;;;Viasis;;;
26.09.2022;10.10.2022;9018;;Kapitaen-Romer-Str.;40;22;Ortsmitte;50;;;;;;
